actor,country,description,genre,original_title,public,score,time,title,year
"Joaquin Phoenix,Russell Crowe,Connie Nielsen","United States,United Kingdom,Malta,Morocco",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action,Adventure,Drama",The Gladiators,R,8.5,2h 35m,Gladiator,2000
"Natalie Portman,Jean Reno,Gary Oldman","France,United States","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin...","Action,Crime,Drama",Léon,R,8.5,1h 50m,Léon: The Professional,1994
"Suzanne Pleshette,Miyu Irino,Daveigh Chase",Japan,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Animation,Adventure,Family",Miyazaki's Spirited Away,PG,8.6,2h 5m,Spirited Away,2001
"Janet Leigh,Anthony Perkins,Vera Miles",United States,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Horror,Mystery,Thriller",Alfred Hitchcock's Psycho,R,8.5,1h 49m,Psycho,1960
"Thomas Kretschmann,Adrien Brody,Frank Finlay","France,Poland,Germany,United Kingdom",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Biography,Drama,Music",Nghệ Sĩ Dương Cầm,R,8.5,2h 30m,The Pianist,2002
"Michael J. Fox,Lea Thompson,Christopher Lloyd",United States,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure,Comedy,Sci-Fi",Povratak u buducnost,PG,8.5,1h 56m,Back to the Future,1985
"Linda Hamilton,Edward Furlong,Arnold Schwarzenegger",United States,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","Action,Sci-Fi",El Exterminator 2,R,8.6,2h 17m,Terminator 2: Judgment Day,1991
"Michael Clarke Duncan,Tom Hanks,David Morse",United States,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime,Drama,Fantasy",Stephen King's The Green Mile,R,8.6,3h 9m,The Green Mile,1999
"Harrison Ford,Mark Hamill,Carrie Fisher",United States,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ...","Action,Adventure,Fantasy",La guerra de las estrellas,PG,8.6,2h 1m,Star Wars: Episode IV - A New Hope,1977
"Nicoletta Braschi,Roberto Benigni,Giorgio Cantarini",Italy,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy,Drama,Romance",Cuộc Sống Tươi Đẹp,PG-13,8.6,1h 56m,Life Is Beautiful,1997
"Alexandre Rodrigues,Matheus Nachtergaele,Leandro Firmino","Brazil,France,Germany","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama",Ciudad de Dios,R,8.6,2h 10m,City of God,2002
"Jodie Foster,Lawrence A. Bonney,Anthony Hopkins",United States,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller",Silence of the Lambs,R,8.6,1h 58m,The Silence of the Lambs,1991
"Tom Sizemore,Tom Hanks,Matt Damon",United States,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama,War",Private Ryan,R,8.6,2h 49m,Saving Private Ryan,1998
"Takashi Shimura,Toshirô Mifune,Keiko Tsushima",Japan,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action,Drama",The Magnificent Seven,Not Rated,8.6,3h 27m,Seven Samurai,1954
"James Stewart,Donna Reed,Lionel Barrymore",United States,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama,Family,Fantasy",Frank Capra's It's a Wonderful Life,PG,8.6,2h 10m,It's a Wonderful Life,1946
"Jessica Chastain,Matthew McConaughey,Anne Hathaway","United States,United Kingdom,Canada",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure,Drama,Sci-Fi",Flora's Letter,PG-13,8.6,2h 49m,Interstellar,2014
"Joe Pesci,Robert De Niro,Ray Liotta",United States,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate...","Biography,Crime,Drama",GoodFellas,R,8.7,2h 25m,Goodfellas,1990
"Louise Fletcher,Jack Nicholson,Michael Berryman",United States,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,Let nad kukavičjim gnezdom,R,8.7,2h 13m,One Flew Over the Cuckoo's Nest,1975
"Kevin Spacey,Brad Pitt,Morgan Freeman",United States,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery",Seven,R,8.6,2h 7m,Se7en,1995
